Geo,Price_Index,Year,Quarter
HR,144.99,2021,Q4
HR,152.25,2022,Q1
HR,157.94,2022,Q2
HR,162.44,2022,Q3
HR,170.11,2022,Q4
HU,95.04,2007,Q1
HU,97.35,2007,Q2
HU,101.2,2007,Q3
HU,102.05,2007,Q4
HU,100.55,2008,Q1
HU,101.9,2008,Q2
HU,102.29,2008,Q3
HU,100.29,2008,Q4
HU,99.69,2009,Q1
HU,96.65,2009,Q2
HU,95.05,2009,Q3
HU,92.42,2009,Q4
HU,94.69,2010,Q1
HU,94.21,2010,Q2
HU,93.75,2010,Q3
HU,91.99,2010,Q4
HU,91.73,2011,Q1
HU,90.97,2011,Q2
HU,89.75,2011,Q3
HU,89.34,2011,Q4
HU,90.21,2012,Q1
HU,87.12,2012,Q2
HU,86.39,2012,Q3
HU,84.67,2012,Q4
HU,84.95,2013,Q1
HU,85.14,2013,Q2
HU,85.26,2013,Q3
HU,84.13,2013,Q4
HU,85.75,2014,Q1
HU,87.55,2014,Q2
HU,89.19,2014,Q3
HU,91.22,2014,Q4
HU,93.6,2015,Q1
HU,98.69,2015,Q2
HU,103.06,2015,Q3
HU,104.65,2015,Q4
HU,109.39,2016,Q1
HU,111.97,2016,Q2
HU,115.2,2016,Q3
HU,116.95,2016,Q4
HU,122.24,2017,Q1
HU,125.48,2017,Q2
HU,129.28,2017,Q3
HU,131.96,2017,Q4
HU,138.65,2018,Q1
HU,142.52,2018,Q2
HU,148.49,2018,Q3
HU,152.32,2018,Q4
HU,165.03,2019,Q1
HU,170.54,2019,Q2
HU,173.22,2019,Q3
HU,171.88,2019,Q4
HU,178.74,2020,Q1
HU,174.9,2020,Q2
HU,181.59,2020,Q3
HU,179.08,2020,Q4
HU,195.95,2021,Q1
HU,204.4,2021,Q2
HU,211.94,2021,Q3
HU,219.86,2021,Q4
HU,241.42,2022,Q1
HU,255.23,2022,Q2
HU,261.44,2022,Q3
HU,256.24,2022,Q4
IE,125.92,2005,Q1
IE,128.58,2005,Q2
IE,133.58,2005,Q3
IE,139.46,2005,Q4
IE,141.99,2006,Q1
IE,147.62,2006,Q2
IE,156.49,2006,Q3
IE,159.91,2006,Q4
IE,162.7,2007,Q1
IE,163.29,2007,Q2
IE,163.07,2007,Q3
IE,162.16,2007,Q4
IE,158.74,2008,Q1
IE,154.41,2008,Q2
IE,150.29,2008,Q3
IE,142.58,2008,Q4
IE,132.58,2009,Q1
IE,123.46,2009,Q2
IE,118.33,2009,Q3
IE,115.58,2009,Q4
IE,111.53,2010,Q1
IE,107.73,2010,Q2
IE,104.59,2010,Q3
IE,99.98,2010,Q4
IE,95.45,2011,Q1
IE,90.5,2011,Q2
IE,85.12,2011,Q3
IE,80.38,2011,Q4
IE,76.76,2012,Q1
IE,75,2012,Q2
IE,75.89,2012,Q3
IE,76.5,2012,Q4
IE,74.32,2013,Q1
IE,74.33,2013,Q2
IE,78.52,2013,Q3
IE,80.77,2013,Q4
IE,82.04,2014,Q1
IE,86.62,2014,Q2
IE,93.63,2014,Q3
IE,96.59,2014,Q4
IE,96.43,2015,Q1
IE,98.6,2015,Q2
IE,101.73,2015,Q3
IE,103.25,2015,Q4
IE,103.67,2016,Q1
IE,104.79,2016,Q2
IE,109.33,2016,Q3
IE,112.06,2016,Q4
IE,113.36,2017,Q1
IE,115.86,2017,Q2
IE,122.18,2017,Q3
IE,125.15,2017,Q4
IE,127.34,2018,Q1
IE,130.44,2018,Q2
IE,133.31,2018,Q3
IE,134.23,2018,Q4
IE,132.98,2019,Q1
IE,133.7,2019,Q2
IE,135.63,2019,Q3
IE,135.32,2019,Q4
IE,134.3,2020,Q1
IE,134.15,2020,Q2
IE,134.55,2020,Q3
IE,136.28,2020,Q4
IE,138.34,2021,Q1
IE,141.65,2021,Q2
IE,148.81,2021,Q3
IE,155.1,2021,Q4
IE,159.07,2022,Q1
IE,161.89,2022,Q2
IE,166.47,2022,Q3
IE,168.52,2022,Q4
IT,116.8,2010,Q1
IT,117.9,2010,Q2
IT,118.8,2010,Q3
IT,118.9,2010,Q4
IT,118.3,2011,Q1
IT,120.7,2011,Q2
IT,120.3,2011,Q3
IT,119.5,2011,Q4
IT,119,2012,Q1
IT,118.1,2012,Q2
IT,115.9,2012,Q3
IT,113.6,2012,Q4
IT,110.5,2013,Q1
IT,110.2,2013,Q2
IT,108.6,2013,Q3
IT,107.1,2013,Q4
IT,105.7,2014,Q1
IT,104.7,2014,Q2
IT,103.5,2014,Q3
IT,101.9,2014,Q4
IT,99.7,2015,Q1
IT,99.8,2015,Q2
IT,100.7,2015,Q3
IT,99.8,2015,Q4
IT,99.8,2016,Q1
IT,100.5,2016,Q2
IT,100.7,2016,Q3
IT,100,2016,Q4
IT,99.1,2017,Q1
IT,99.6,2017,Q2
IT,99.2,2017,Q3
IT,98.8,2017,Q4
IT,98.6,2018,Q1
IT,99.2,2018,Q2
IT,98.4,2018,Q3
IT,98.3,2018,Q4
IT,97.7,2019,Q1
IT,99.1,2019,Q2
IT,98.8,2019,Q3
